,year,tax_band,engine_capacity,urban_metric,extra_urban_metric,combined_metric,urban_imperial,extra_urban_imperial,combined_imperial,noise_level,co2,co_emissions,nox_emissions,thc_nox_emissions,particulates_emissions,fuel_cost_12000_miles,fuel_cost_6000_miles,standard_12_months,standard_6_months,first_year_12_months,first_year_6_months,date_of_change
147,2000.0,,1991.0,13.7,7.2,9.6,20.6,39.2,29.4,74.0,229.0,313.0,,,,,724.0,,,,,
148,2000.0,,1991.0,15.3,7.8,10.5,18.5,36.2,26.9,73.0,250.0,215.0,,,,,791.0,,,,,
149,2000.0,,2494.0,13.1,7.2,9.4,21.6,39.2,30.1,74.0,225.0,905.0,78.0,,,,707.0,,,,,
150,2000.0,,2494.0,15.0,7.5,10.3,18.8,37.7,27.4,72.0,245.0,633.0,86.0,,,,776.0,,,,,
151,2000.0,,2494.0,13.4,7.7,9.8,21.1,36.7,28.8,74.0,235.0,905.0,78.0,,,,739.0,,,,,
152,2000.0,,2494.0,15.6,7.9,10.7,18.1,35.8,26.4,72.0,256.0,633.0,86.0,,,,806.0,,,,,
153,2000.0,,2793.0,13.6,7.2,9.5,20.8,39.2,29.7,74.0,228.0,891.0,95.0,,,,716.0,,,,,
154,2000.0,,2793.0,15.6,7.6,10.5,18.1,37.2,26.9,72.0,252.0,981.0,118.0,,,,791.0,,,,,
155,2000.0,,2793.0,13.8,7.5,9.8,20.5,37.7,28.8,74.0,235.0,891.0,95.0,,,,739.0,,,,,
156,2000.0,,2793.0,15.5,8.0,10.7,18.2,35.3,26.4,72.0,257.0,981.0,118.0,,,,806.0,,,,,
157,2000.0,,2926.0,9.7,5.6,7.1,29.1,50.4,39.8,74.0,189.0,75.0,436.0,,0.036,,548.0,,,,,
158,2000.0,,2926.0,11.7,6.4,8.3,24.1,44.1,34.0,71.0,221.0,263.0,414.0,,0.033,,642.0,,,,,
159,2000.0,,2926.0,9.8,5.8,7.3,28.8,48.7,38.7,74.0,194.0,75.0,436.0,,0.036,,564.0,,,,,
160,2000.0,,2926.0,11.9,6.6,8.5,23.7,42.8,33.2,71.0,227.0,263.0,414.0,,0.033,,657.0,,,,,
161,2000.0,,3498.0,16.9,8.5,11.6,16.7,33.2,24.4,74.0,279.0,486.0,52.0,,,,872.0,,,,,
162,2000.0,,3498.0,16.7,8.8,11.7,16.9,32.1,24.1,71.0,282.0,374.0,89.0,,,,883.0,,,,,
163,2000.0,,4398.0,17.7,8.9,12.1,16.0,31.7,23.3,73.0,292.0,657.0,58.0,,,,913.0,,,,,
164,2000.0,,4398.0,17.2,9.2,12.1,16.4,30.7,23.3,73.0,292.0,450.0,84.0,,,,913.0,,,,,
165,2000.0,,4398.0,18.0,9.1,12.4,15.7,31.0,22.8,73.0,299.0,657.0,58.0,,,,933.0,,,,,
166,2000.0,,4398.0,17.6,9.7,12.6,16.1,29.1,22.4,73.0,304.0,450.0,84.0,,,,950.0,,,,,
167,2000.0,,4941.0,21.1,9.8,13.9,13.4,28.8,20.3,75.0,336.0,1248.0,104.0,,,,1048.0,,,,,
168,2000.0,,2793.0,16.5,8.0,11.1,17.1,35.3,25.4,73.0,267.0,981.0,118.0,,,,838.0,,,,,
169,2000.0,,3498.0,17.2,9.1,12.1,16.4,31.0,23.3,73.0,291.0,374.0,89.0,,,,913.0,,,,,
170,2000.0,,4398.0,18.6,9.4,12.8,15.2,30.1,22.1,72.0,306.0,450.0,84.0,,,,963.0,,,,,
171,2000.0,,4398.0,18.1,9.2,12.5,15.6,30.7,22.6,72.0,301.0,450.0,84.0,,,,941.0,,,,,
172,2000.0,,5379.0,19.7,10.4,13.8,14.3,27.2,20.5,72.0,332.0,1549.0,55.0,,,,1038.0,,,,,
173,2000.0,,5379.0,19.6,10.1,13.6,14.4,28.0,20.8,72.0,327.0,1549.0,55.0,,,,1023.0,,,,,
174,2000.0,,4398.0,18.8,11.1,13.9,15.0,25.4,20.3,75.0,335.0,806.0,88.0,,,,1048.0,,,,,
175,2000.0,,4941.0,21.1,10.6,14.5,13.4,26.6,19.5,75.0,349.0,1249.0,104.0,,,,1091.0,,,,,
176,2000.0,,4565.0,20.6,10.4,14.2,13.7,27.1,19.8,72.0,330.0,832.0,,,,,1075.0,,,,,
177,2000.0,,4300.0,19.9,11.2,14.3,14.1,25.2,19.7,74.0,334.0,972.0,,,,,1080.0,,,,,
178,2000.0,,4300.0,19.1,10.5,13.7,14.7,26.8,20.6,74.0,319.0,1045.0,,,,,1033.0,,,,,
179,2000.0,,4300.0,19.5,12.2,14.8,14.4,23.1,19.0,74.0,345.0,1187.0,,,,,1120.0,,,,,
180,2000.0,,3800.0,16.5,8.8,11.7,17.1,32.0,24.1,74.0,275.0,1423.0,,,,,883.0,,,,,
181,2000.0,,3800.0,17.2,9.6,12.4,16.4,29.4,22.7,74.0,294.0,540.0,,,,,937.0,,,,,
182,2000.0,,5700.0,19.8,9.8,13.5,14.2,28.8,20.9,75.0,320.0,578.0,,,,,1018.0,,,,,
183,2000.0,,5700.0,17.1,9.6,12.4,16.5,29.4,22.7,72.0,294.0,620.0,,,,,937.0,,,,,
