file,year,manufacturer,model,description,euro_standard,tax_band,transmission,transmission_type,engine_capacity,fuel_type,urban_metric,extra_urban_metric,combined_metric,urban_imperial,extra_urban_imperial,combined_imperial,noise_level,co2,thc_emissions,co_emissions,nox_emissions,thc_nox_emissions,particulates_emissions,fuel_cost_12000_miles,fuel_cost_6000_miles,standard_12_months,standard_6_months,first_year_12_months,first_year_6_months,date_of_change
DatapartC_july2000.csv,2000,Volkswagen,Bora 4 Door Saloon,Sport 2.0  115 bhp,2,,A4,Automatic,1984,Petrol,13.1,7,9.2,21.6,40.4,30.7,72,221,,252,,,,,693,,,,,
DataPartB_july2000.csv,2000,Volkswagen,Bora 4 Door Saloon,Sport TDI 150 bhp,3,,M6,Manual,1896,Diesel,7.2,4.5,5.5,39.2,62.8,51.4,74,149,,177,363,,0.024,,425,,,,,
DataPartB_july2000.csv,2000,Volkswagen,Bora 4 Door Saloon,Sport TDI PD 1.9  115 bhp,3,,M6,Manual,1896,Diesel,7.1,4.5,5.4,39.8,62.8,52.3,73,146,,165,441,,0.031,,417,,,,,
DataPartB_july2000.csv,2000,Volkswagen,Bora 4 Door Saloon,S TDI 1.9  90 bhp,3,,M5,Manual,1896,Diesel,6.8,4.3,5.2,41.5,65.7,54.3,71,140,,117,369,,0.029,,402,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Bora 4 Door Saloon,V5 150 bhp,2,,M5,Manual,2324,Petrol,13.3,7.3,9.4,21.2,38.7,30.1,73.5,226,,407,,,,,707,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Bora 4 Door Saloon,V5 150 bhp,2,,A4,Automatic,2324,Petrol,14.7,7.8,10.2,19.2,36.2,27.7,71,245,,349,,,,,768,,,,,
DataPartA_july2000.csv,2000,Volkswagen,Bora 4 Door Saloon,V6 4MOTION,4,,M5,Manual,2792,Petrol,15.6,8.3,11,18.1,34,25.7,74,264,59,473,25,,,,828,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Caddy Kombi,P 1.6 75 bhp,2,,M5,Manual,1598,Petrol,10.9,7,8.4,25.9,40.4,33.6,73,202,,476,,,,,633,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Caddy Kombi,SDI 1.9 64 bhp,2,,M5,Manual,1896,Diesel,7.5,5,5.9,37.7,56.5,47.9,74,159,,751,,,0.068,,456,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Caddy Kombi,TDI 1.9 90 bhp,2,,M5,Manual,1896,Diesel,7.1,4.7,5.6,39.8,60.1,50.4,73,151,,400,,,0.045,,433,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Caravelle Limousine,102 bhp TDI,2,,A4,Automatic,2461,Diesel,11.2,7.4,8.7,25.2,38.2,32.5,72,235,,171,,,0.084,,671,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Caravelle Limousine,102 bhp TDI,2,,M5,Manual,2461,Diesel,10.2,7.3,8.5,27.6,38.6,33.2,73.5,213,,288,,,0.086,,657,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Caravelle Limousine,102 bhp TDI Syncro,2,,QM5,Manual,2461,Diesel,10.2,7.3,8.5,27.7,38.6,33.2,75,270,,162,,,0.156,,657,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Caravelle Sedan/Variant,102 bhp TDI,2,,A4,Automatic,2461,Diesel,11.2,7.4,8.7,25.2,38.2,32.5,72,235,,171,,,0.084,,671,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Caravelle Sedan/Variant,102 bhp TDI,2,,M5,Manual,2461,Diesel,10.2,7.3,8.5,27.6,38.6,33.2,73.5,213,,288,,,0.086,,657,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Caravelle Sedan/Variant,102 bhp TDI Syncro,2,,QM5,Manual,2461,Diesel,10.2,7.3,8.5,27.7,38.6,33.2,75,270,,162,,,0.156,,657,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Caravelle Sedan/Variant,114 bhp,2,,A4,Automatic,2461,Petrol,17.3,9.9,12.7,16.3,28.5,22.2,72,305,,884,,,,,958,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Caravelle Sedan/Variant,114 bhp,2,,M5,Manual,2461,Petrol,16.8,9.5,12.2,16.8,29.7,23.2,74,293,,767,,,,,917,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Caravelle Sedan/Variant,88 bhp TDI,2,,M5,Manual,2461,Diesel,10.1,6.9,8.1,28,40.9,34.9,73.5,219,,396,,,0.089,,625,,,,,
DataPartA_july2000.csv,2000,Volkswagen,Golf 3/5 Door Hatchback,E 1.4 75 bhp,4,,M5,Manual,1390,Petrol,9.1,5.5,6.8,31,51.4,41.5,72,163,74,121,40,,,,513,,,,,
DataPartB_july2000.csv,2000,Volkswagen,Golf 3/5 Door Hatchback,E SDI 1.9  68 bhp,3,,M5,Manual,1896,Diesel,7.1,4.4,5.3,39.8,64.2,53.3,73,143,,436,314,,0.036,,409,,,,,
DatapartC_july2000.csv,2000,Volkswagen,Golf 3/5 Door Hatchback,GTI 1.8 150 bhp,2,,M5,Manual,1781,Petrol,11,6.3,8,25.7,44.8,35.3,70.5,192,,156,,,,,603,,,,,
DataPartA_july2000.csv,2000,Volkswagen,Golf 3/5 Door Hatchback,GTI 2.0 115 bhp,4,,M5,Manual,1984,Petrol,11.1,6.3,8.1,25.4,44.8,34.9,73,194,68,794,30,,,,610,,,,,
DataPartB_july2000.csv,2000,Volkswagen,Golf 3/5 Door Hatchback,GTI 2.0 115 bhp Manual,3,,M5,Manual,1984,Petrol,11.1,6.3,8.1,25.4,44.8,34.9,73,194,68,794,30,,,,610,,,,,
DataPartB_july2000.csv,2000,Volkswagen,Golf 3/5 Door Hatchback,GTI TDI 1.9 115 bhp,3,,M5,Manual,1896,Diesel,7,4.4,5.3,40.4,64.2,53.3,72,143,,109,330,,0.03,,409,,,,,
DataPartB_july2000.csv,2000,Volkswagen,Golf 3/5 Door Hatchback,GTI TDI 1.9 115 bhp,3,,M6,Manual,1896,Diesel,7,4.4,5.3,40.4,64.2,53.3,73,143,,165,441,,0.031,,409,,,,,
DataPartA_july2000.csv,2000,Volkswagen,Golf 3/5 Door Hatchback,S 1.4 75 bhp,4,,M5,Manual,1390,Petrol,9.1,5.5,6.8,31,51.4,41.5,72,163,74,121,40,,,,513,,,,,
